,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp,predicted_loan_status
3814,1,0,8,28,21000.0,21.48,372.98,85000.0,20.54,2.0,20.0,15.0,356.0,60.0,15623.0,40.0,0.0,bad
3824,0,4,8,4,2350.0,15.81,82.4,30000.0,29.48,0.0,0.0,11.0,197.9,36.0,3209.0,11.0,0.0,bad
3838,1,0,2,29,16000.0,19.05,586.91,80000.0,20.04,4.0,18.0,8.0,352.8,36.0,707.0,33.0,0.0,bad
3859,8,4,2,5,15000.0,18.75,547.95,40000.0,14.55,2.0,16.0,6.0,407.6,36.0,8988.0,30.0,0.0,bad
3861,4,0,10,1,14300.0,8.9,454.08,62000.0,9.21,0.0,0.0,13.0,217.6,36.0,6472.0,18.0,0.0,bad
3867,11,3,2,37,4225.0,13.11,142.59,24000.0,8.55,0.0,0.0,11.0,270.8,36.0,5355.0,19.0,0.0,bad
3886,1,0,2,3,15000.0,14.33,515.08,75000.0,18.58,1.0,11.0,10.0,574.4,36.0,64919.0,38.0,0.0,bad
3896,1,0,2,16,14125.0,13.11,476.68,47400.0,24.73,2.0,13.0,14.0,457.3,36.0,22210.0,36.0,0.0,bad
3901,8,0,2,4,4000.0,14.33,137.36,32000.0,23.13,0.0,0.0,24.0,318.2,36.0,14941.0,31.0,0.0,bad
3910,1,4,2,32,16800.0,23.28,476.31,56000.0,7.52,0.0,55.0,5.0,356.2,60.0,71.0,28.0,0.0,bad
3922,10,0,2,10,5500.0,16.29,194.16,39002.0,7.26,5.0,14.0,6.0,228.1,36.0,424.0,39.0,0.0,bad
3977,2,4,2,3,6500.0,7.9,203.39,35500.0,33.26,0.0,0.0,9.0,408.7,36.0,24226.0,19.0,0.0,bad
3980,7,4,2,4,4800.0,13.11,161.99,33758.0,24.71,0.0,0.0,5.0,295.6,36.0,11774.0,11.0,0.0,bad
4003,1,4,2,18,18000.0,16.29,635.41,55000.0,30.7,0.0,0.0,12.0,335.4,36.0,10250.0,45.0,0.0,bad
4035,8,0,10,28,12175.0,7.9,380.96,105969.0,6.56,0.0,0.0,22.0,376.2,36.0,627.0,43.0,0.0,bad
4038,1,4,1,28,6000.0,7.62,186.97,55000.0,15.99,0.0,0.0,8.0,400.2,36.0,4661.0,17.0,0.0,bad
4042,1,3,2,10,19600.0,7.9,613.29,50000.0,4.34,0.0,0.0,8.0,398.1,36.0,2007.0,35.0,0.0,bad
4049,4,0,10,28,4225.0,6.03,128.6,31000.0,14.52,0.0,0.0,17.0,286.0,36.0,3907.0,26.0,0.0,bad
4051,4,4,2,12,5000.0,13.11,168.74,38000.0,4.74,0.0,0.0,7.0,377.1,36.0,3621.0,11.0,0.0,bad
4087,0,4,2,14,12300.0,14.33,422.36,38105.6,29.22,0.0,59.0,10.0,224.7,36.0,4287.0,24.0,0.0,bad
4090,2,4,2,25,14000.0,19.72,368.74,67000.0,27.83,0.0,0.0,17.0,332.8,60.0,19600.0,30.0,0.0,bad
4113,7,4,11,4,14675.0,21.0,552.89,37000.0,27.6,0.0,0.0,6.0,231.5,36.0,7092.0,16.0,0.0,bad
4117,11,3,3,25,12250.0,16.29,432.43,35000.0,7.36,0.0,41.0,11.0,513.5,36.0,5740.0,40.0,0.0,bad
4118,1,4,2,12,14400.0,13.11,485.96,50000.0,26.09,0.0,0.0,9.0,309.5,36.0,7333.0,24.0,0.0,bad
4133,1,3,2,6,20000.0,19.72,526.77,70000.0,27.84,2.0,9.0,21.0,376.3,60.0,34779.0,39.0,0.0,bad
4151,1,0,2,37,35000.0,23.83,1003.43,110000.0,34.08,0.0,0.0,14.0,297.3,60.0,41721.0,50.0,30482.7,bad
4160,7,0,2,9,13475.0,12.12,448.34,68000.0,28.27,0.0,0.0,12.0,260.1,36.0,7722.0,24.0,0.0,bad
4165,0,0,2,14,15000.0,13.11,506.21,43000.0,11.64,0.0,32.0,14.0,311.1,36.0,7573.0,32.0,0.0,bad
4196,11,4,2,39,10050.0,20.49,376.01,30456.0,11.11,0.0,0.0,3.0,562.9,36.0,4421.0,7.0,0.0,bad
4227,6,4,2,26,23500.0,14.09,547.91,70000.0,26.07,0.0,0.0,14.0,387.7,60.0,862.0,52.0,0.0,bad
4247,2,0,2,4,8875.0,14.09,303.72,70000.0,6.12,0.0,0.0,9.0,241.6,36.0,3697.0,11.0,0.0,bad
4270,1,3,2,25,20000.0,7.62,623.23,56500.0,5.16,0.0,0.0,12.0,412.4,36.0,13871.0,23.0,0.0,bad
4293,1,0,2,10,6000.0,12.12,199.63,85000.0,32.54,0.0,0.0,16.0,285.3,36.0,24623.0,25.0,0.0,bad
4322,1,0,2,9,9700.0,12.12,322.74,53300.0,13.15,0.0,0.0,5.0,261.1,36.0,10883.0,20.0,0.0,bad
4339,8,0,4,9,16825.0,18.75,614.62,89000.0,12.35,0.0,64.0,11.0,312.0,36.0,13761.0,18.0,0.0,bad
4345,8,0,2,32,18100.0,23.28,513.17,51000.0,11.48,0.0,63.0,14.0,393.9,60.0,16653.0,24.0,0.0,bad
4350,1,4,1,20,11100.0,12.12,369.32,35000.0,20.78,0.0,0.0,7.0,299.9,36.0,9490.0,17.0,0.0,bad
4351,3,0,2,27,13150.0,15.31,457.85,65000.0,29.28,0.0,0.0,16.0,214.9,36.0,15051.0,18.0,0.0,bad
4381,7,0,11,17,5000.0,8.9,158.77,112000.0,26.65,0.0,34.0,15.0,483.7,36.0,44930.0,30.0,0.0,bad
4382,3,4,2,3,2750.0,14.09,94.11,23000.0,33.91,0.0,0.0,6.0,243.6,36.0,15333.0,18.0,0.0,bad
4397,5,0,2,18,3200.0,13.11,108.0,90000.0,13.27,1.0,7.0,8.0,297.4,36.0,42170.0,19.0,0.0,bad
4411,7,0,1,10,15875.0,18.75,579.91,65000.0,10.34,0.0,47.0,8.0,430.6,36.0,15021.0,29.0,0.0,bad
4426,5,4,2,28,22000.0,12.12,731.98,50000.0,31.7,1.0,8.0,11.0,584.4,36.0,14044.0,25.0,0.0,bad
4429,1,0,2,25,11500.0,14.33,394.89,35000.0,12.0,0.0,0.0,10.0,250.4,36.0,16451.0,15.0,0.0,bad
4432,1,0,2,37,34800.0,24.7,1015.32,90000.0,20.87,1.0,12.0,12.0,356.4,60.0,14129.0,43.0,0.0,bad
